"","X","lat","long","postal","x","y","address"
"13",14,1.39213828470085,103.872490555974,791447,32359.3264129404,41561.1302851178,"447A JALAN KAYU OCBC JALAN KAYU - FAIRPRICE SINGAPORE 791447"
"14",15,1.39657691054767,103.872860366695,799473,32400.4732548296,42051.9318460301,"249 JALAN KAYU JALAN KAYU ESTATE SINGAPORE 799473"
"15",16,1.37169878879803,103.879948293051,530642,33189.3190809404,39301.0489679445,"642 HOUGANG AVENUE 8 SINGAPORE 530642"
"16",17,1.36922522142582,103.848493192474,569933,29688.7511848807,39027.4892920107,"53 ANG MO KIO AVENUE 3 DBS ANG MO KIO BRANCH SINGAPORE 569933"
"17",18,1.37789204897273,103.856411982029,567720,30570.0075867195,39985.8301062901,"2 ANG MO KIO DRIVE DBS ITE COLLEGE CENTRAL BRANCH SINGAPORE 567720"
"18",19,1.38739539397015,103.869135978173,807011,31986.0138748605,41036.6794434916,"1 SELETAR ROAD GREENWICH V SINGAPORE 807011"
"19",20,1.3714109677026,103.847084468485,560712,29531.9758325825,39269.1770535018,"712 ANG MO KIO AVENUE 6 SINGAPORE 560712"
"20",21,1.37264569640251,103.853890703815,560525,30289.4257688308,39405.7125077695,"525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525"
"21",22,1.36650575716426,103.84181118487,560215,28945.1255145678,38726.7811112981,"215 ANG MO KIO AVENUE 1 DBS NTUC ANG MO KIO AVENUE 1 SINGAPORE 560215"
"22",23,1.37018860668947,103.843413231524,560122,29123.4124439657,39134.0125572905,"122 ANG MO KIO AVENUE 3 SINGAPORE 560122"
"23",24,1.36462540270464,103.847677034369,563316,29597.9256829247,38518.8641867433,"316B ANG MO KIO STREET 31 TECK GHEE VISTA SINGAPORE 563316"
"24",25,1.36754924977907,103.836740628478,560233,28380.8330470454,38842.1638154108,"233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233"
"25",26,1.36538422642267,103.852966961527,560421,30186.6311256615,38602.7752099633,"421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421"
"26",27,1.34888848334478,103.849692230048,570510,29822.204813581,36778.7572882809,"510 BISHAN STREET 13 DBS NTUC BISHAN STREET 13 SINGAPORE 570510"
"27",28,1.35031600039774,103.848496645294,579837,29689.1485732393,36936.6039758623,"9 BISHAN PLACE DBS NTUC JUNCTION 8 SHOPPING CENTRE SINGAPORE 579837"
